date,supply,demand,investment,policy,technology,total
20230101,0.0,0.0,0.0,0.0,0.0,0.0
20230102,0.0,0.0,0.0,0.0,0.0,0.0
20230103,0.0,0.0,0.0,0.0,0.0,0.0
20230104,0.0,0.0,0.0,0.0,0.0,0.0
20230105,0.0,0.0,0.0,0.0,0.0,0.0
20230106,0.0,0.0,0.0,0.0,0.0,0.0
20230107,0.0,0.0,0.0,0.0,0.0,0.0
20230108,0.0,0.0,0.0,0.0,0.0,0.0
20230109,0.0,0.0,0.0,0.0,0.0,0.0
20230110,0.0,0.0,0.0,0.0,0.0,0.0
20230111,0.0,0.0,0.0,0.0,0.0,0.0
20230112,0.0,0.0,0.0,0.0,0.0,0.0
20230113,0.0,0.0,0.0,0.0,0.0,0.0
20230114,0.0,0.0,0.0,0.0,0.0,0.0
20230115,0.0,0.0,0.0,0.0,0.0,0.0
20230116,0.0,0.0,0.0,0.0,0.0,0.0
20230117,0.0,0.0,0.0,0.0,0.0,0.0
20230118,0.0,0.0,0.0,0.0,0.0,0.0
20230119,0.0,0.0,0.0,0.0,0.0,0.0
20230120,0.0,0.0,0.0,0.0,0.0,0.0
20230121,0.0,0.0,0.0,0.0,0.0,0.0
20230122,0.0,0.0,0.0,0.0,0.0,0.0
20230123,0.0,0.0,0.0,0.0,0.0,0.0
20230124,0.0,0.0,0.0,0.0,0.0,0.0
20230125,0.0,0.0,0.0,0.0,0.0,0.0
20230126,0.0,0.0,0.0,0.0,0.0,0.0
20230127,0.0,0.0,0.0,0.0,0.0,0.0
20230128,0.0,0.0,0.0,0.0,0.0,0.0
20230129,0.0,0.0,0.0,0.0,0.0,0.0
20230130,0.0,0.0,0.0,0.0,0.0,0.0
20230131,40.0,35.0,0.0,0.0,0.0,22.75
20230201,38.0,33.25,0.0,0.0,0.0,21.612499999999997
20230202,36.1,31.5875,0.0,0.0,0.0,20.531875
20230203,34.295,30.008124999999996,0.0,0.0,0.0,19.50528125
20230204,32.58025,28.507718749999995,0.0,0.0,0.0,18.5300171875
20230205,30.951237499999998,27.082332812499995,0.0,0.0,0.0,17.603516328124996
20230206,29.403675624999998,25.728216171874994,0.0,0.0,0.0,16.723340511718746
20230207,27.933491843749998,24.441805363281244,0.0,0.0,0.0,15.88717348613281
20230208,26.536817251562496,23.21971509511718,0.0,0.0,0.0,15.092814811826168
20230209,25.20997638898437,22.05872934036132,0.0,0.0,0.0,14.33817407123486
20230210,23.94947756953515,20.955792873343253,0.0,0.0,0.0,13.621265367673114
20230211,22.75200369105839,19.90800322967609,0.0,0.0,0.0,12.940202099289458
20230212,21.61440350650547,18.912603068192286,0.0,0.0,0.0,12.293191994324985
20230213,20.533683331180196,17.966972914782673,0.0,0.0,0.0,11.678532394608737
20230214,19.506999164621185,17.06862426904354,0.0,0.0,0.0,11.0946057748783
20230215,18.531649206390124,16.21519305559136,0.0,0.0,0.0,10.539875486134383
20230216,17.605066746070616,15.404433402811792,0.0,0.0,0.0,10.012881711827664
20230217,16.724813408767083,14.634211732671202,0.0,0.0,0.0,9.51223762623628
20230218,15.888572738328728,13.902501146037642,0.0,0.0,0.0,9.036625744924464
20230219,15.09414410141229,13.207376088735758,0.0,0.0,0.0,8.58479445767824
20230220,14.339436896341676,12.547007284298969,0.0,0.0,0.0,8.155554734794329
20230221,13.62246505152459,11.91965692008402,0.0,0.0,0.0,7.747776998054611
20230222,12.941341798948361,11.323674074079818,0.0,0.0,0.0,7.3603881481518805
20230223,12.294274709000943,10.757490370375827,0.0,0.0,0.0,6.992368740744286
20230224,11.679560973550895,10.219615851857036,0.0,0.0,0.0,6.642750303707072
20230225,11.09558292487335,9.708635059264184,0.0,0.0,0.0,6.310612788521718
20230226,10.540803778629682,9.223203306300974,0.0,0.0,0.0,5.995082149095632
20230227,10.013763589698197,8.762043140985925,0.0,0.0,0.0,5.69532804164085
20230228,57.51307541021329,50.32394098393663,0.0,0.0,0.0,32.710561639558804
20230301,54.63742163970262,47.8077439347398,0.0,0.0,0.0,31.075033557580866
20230302,51.90555055771749,45.4173567380028,0.0,0.0,0.0,29.521281879701817
20230303,49.31027302983161,43.14648890110266,0.0,0.0,0.0,28.045217785716726
20230304,46.84475937834003,40.989164456047526,0.0,0.0,0.0,26.64295689643089
20230305,44.502521409423025,38.93970623324515,0.0,0.0,0.0,25.310809051609347
20230306,42.27739533895187,36.99272092158289,0.0,0.0,0.0,24.045268599028873
20230307,40.163525572004275,35.14308487550374,0.0,0.0,0.0,22.84300516907743
20230308,38.15534929340406,33.38593063172855,0.0,0.0,0.0,21.700854910623555
20230309,36.24758182873385,31.71663410014212,0.0,0.0,0.0,20.615812165092375
20230310,34.43520273729715,30.130802395135014,0.0,0.0,0.0,19.585021556837756
20230311,32.713442600432295,28.62426227537826,0.0,0.0,0.0,18.60577047899587
20230312,31.077770470410677,27.193049161609345,0.0,0.0,0.0,17.675481955046074
20230313,29.523881946890143,25.833396703528877,0.0,0.0,0.0,16.79170785729377
20230314,28.047687849545635,24.54172686835243,0.0,0.0,0.0,15.952122464429081
20230315,26.64530345706835,23.31464052493481,0.0,0.0,0.0,15.154516341207625
20230316,25.313038284214933,22.14890849868807,0.0,0.0,0.0,14.396790524147242
20230317,24.047386370004187,21.041463073753665,0.0,0.0,0.0,13.67695099793988
20230318,22.845017051503977,19.98938992006598,0.0,0.0,0.0,12.993103448042888
20230319,21.702766198928778,18.98992042406268,0.0,0.0,0.0,12.343448275640743
20230320,20.617627888982337,18.040424402859546,0.0,0.0,0.0,11.726275861858703
20230321,19.58674649453322,17.13840318271657,0.0,0.0,0.0,11.139962068765769
20230322,18.60740916980656,16.28148302358074,0.0,0.0,0.0,10.58296396532748
20230323,17.67703871131623,15.467408872401704,0.0,0.0,0.0,10.053815767061106
20230324,16.793186775750417,14.694038428781617,0.0,0.0,0.0,9.55112497870805
20230325,15.953527436962895,13.959336507342536,0.0,0.0,0.0,9.073568729772648
20230326,15.15585106511475,13.26136968197541,0.0,0.0,0.0,8.619890293284016
20230327,14.398058511859011,12.598301197876639,0.0,0.0,0.0,8.188895778619813
20230328,13.67815558626606,11.968386137982806,0.0,0.0,0.0,7.779450989688822
20230329,12.994247806952757,11.369966831083666,0.0,0.0,0.0,7.390478440204381
20230330,12.344535416605119,10.801468489529482,0.0,0.0,0.0,7.020954518194161
20230331,67.72730864577485,59.26139506505301,0.0,0.0,0.0,38.519906792284445
20230401,64.34094321348611,56.298325311800355,0.0,0.0,0.0,36.59391145267023
20230402,61.1238960528118,53.48340904621033,0.0,0.0,0.0,34.764215880036716
20230403,58.06770125017121,50.80923859389981,0.0,0.0,0.0,33.02600508603488
20230404,55.16431618766265,48.26877666420482,0.0,0.0,0.0,31.37470483173313
20230405,52.40610037827951,45.85533783099458,0.0,0.0,0.0,29.805969590146475
20230406,49.78579535936554,43.562570939444846,0.0,0.0,0.0,28.31567111063915
20230407,47.296505591397256,41.3844423924726,0.0,0.0,0.0,26.899887555107192
20230408,44.93168031182739,39.31522027284897,0.0,0.0,0.0,25.55489317735183
20230409,42.68509629623602,37.34945925920652,0.0,0.0,0.0,24.277148518484235
20230410,40.550841481424214,35.48198629624619,0.0,0.0,0.0,23.06329109256002
20230411,38.523299407353,33.70788698143388,0.0,0.0,0.0,21.91012653793202
20230412,36.59713443698535,32.02249263236219,0.0,0.0,0.0,20.814620211035418
20230413,34.76727771513608,30.421368000744078,0.0,0.0,0.0,19.773889200483648
20230414,33.02891382937928,28.900299600706873,0.0,0.0,0.0,18.785194740459467
20230415,31.377468137910313,27.455284620671527,0.0,0.0,0.0,17.84593500343649
